word1,word2
고한,혹서
고한,혹염
고함량,저함량
고혈압,저혈압
고혈압,저혈압증
고혈압증,저혈압
고혈압증,저혈압증
고효율,저효율
곡발,흑발
곡선,직선
곡선미,직선미
곡언하다,당사하다
곡언하다,직언하다
곡재피,곡재아
곡주로,직선코스
곡주로,직주로
곡필,직필
곡학,정학
골바람,산바람
골바람,산풍
골바람,재넘이
곰방담뱃대,긴대
곰방대,긴대
곰방대,장죽
곱다,밉다
곱상,밉상
공,사
공,유
공간,사무
공개,비공개
공개하다,비공개하다
공개회의,비밀회
공격력,방어력
공격력,수비력
공경매,사경매
공경제,민간경제
공경제,사적자유경제
공교육,사교육
공권,사권
공급,수요
공급량,수요량
공급자,수요가
공급자,수요자
공급점,수요점
공급지,수요지
공급지,수요처
공급표,수요표
공녀,남공
공노비,사노
공노비,사노비
공담하다,사담하다
공대,하대
공대하다,하대하다
공동작,기록문학
공락하다,동고하다
공론,사론
공매도,공매
공매도,공매수
공매수,공매
공매수,쇼트셀링
공명선거,부정선거
공모,비공모발행
공모,사모
공모,사모발행
공모,연고모집
공모발행,사모
공모발행,사모발행
공모발행,연고모집
공무,사무
공무,사사
공무,사삿일
공무,일신일가
공방하다,불공정하다
공법,사법
공법인,사법인
공법학,사법학
공보,사보
공분,사분
공비,사비
공사,사무
공사,사사
공사,사삿일
공사,일신일가
공산주의,자본주의
공상,사상
공서파,신서파
공석,사석
공석,사좌
공선,만선
공설,사설
공세,수세
공소,사소
공손히,불손히
공수,사수
공시태,통시태
공식,비공식
공심,사심
공심,사의
공심,만복
공용꼭지,전용꼭지
공용물,사용물
공유물,전유물
공익권,자익권
공전,사전
공전,사금
공차,영차
공통종,고유종
공평성,불공평성
공포탄,실탄
공한,사서
공한,사찰
공한,사한
공함,사서
공함,사찰
공함,사한
공형벌,사적제재
과년,내년
과년,내자
과년,익년
과다하다,과소하다
과대,과소
과대시,과소시
과대하다,과소하다
과문,다문
과밀,과소
과방녀,과방남
과소,과다
과소시하다,과대시하다
과소평가,과대평가
과소평가하다,과대평가하다
과소하다,과밀하다
과소히,과대히
과소히,과다히
과실범,고의범
과실범,유의범
과언하다,다언하다
과오,낮전
과오,상오
과욕,다욕
과우,대우
과우,큰비
과잉수,부족수
과작,다작
과작가,다작가
과제,낙제
과제,하제
과조,다조
과체중,저체중
곽외,곽내
관공장,사공장
관공장,사장
관내,관외
관본,사본
관상골,단골
관상골,짧은뼈
관서,낭독
관서하다,낭독하다
관선,사선
관설,민설
관성계,비관성계
관외,관내
관장,사공장
관장,사장
관제품,사제품
관판,사판
광녀,광부
광식성,협식성
광엽,바늘잎
광엽,침상엽
광엽,침엽
광온성,협온성
광원,암체
광원,어둠물체
광원체,암체
광원체,어둠물체
광체,암체
광체,어둠물체
괴재,소재
교,손순
교류,갈바니전류
교류,갈바니흐름
교류,디시
교류,직류
교류,직류전류
교만,겸손
교만하다,겸손하다
교만하다,손순하다
교만히,겸손히
교외,교내
교전하다,교영하다
교종선,선종선
교종시,선종시
교체,주체
교합,못맞물림
교회,이별
구간,신간
구경하,영감하
구곡,햇곡
구곡,햇곡식
구관,신관
구교,개신교
구교,그리스도교
구교,기독교
구교,신교
구교,열교
구교,예수교
구교,크리스트교
구교,프로테스탄트
구기조산대,신기조산대
구내,구외
구내전화,구외전화
구대륙,신대륙
구대륙,신세계
구도,신도로
구두어,글말
구란,대극장
구력,양력
구력,태양력
구로,신작로
구면,초면
구몰하다,구존하다
구물,신건
구물,신물
구물,신품
구법,신법
구법당,신법당
구본,신본
구부,친삼촌
구부,후남편
구부,후부
구부,후서방
구부,후처
구비화,불완전화
구비화,안갖춘꽃
구사상,신사상
구산,신묘
구상,추상미술
구세력,신세력
구송,간서
구송,관서
구송,묵독
구식민주의,신식민주의
구식민주의,신식민지주의
구심,원심
구씨,친삼촌
구어,글말
구어,문어
구어문,문어문
구어체,글말체
구어체,문장체
구원,구천
구원,구천지하
구원,차생
구인난,구직난
구작,신작
구전,신본
구전,신서
구전,신서적
구정,신정
구정문,신정문
구정치인,신정치인
구제권,원권
구존,구몰
구좌파,신좌파
구주,신주인
구주,신주
구주,증자신주
구주식,증자신주
구주인,신주
구주인,신주인
구채,신채
구체성,추상성
구체제,신체제
구체화,추상화
구칭,현칭
구판,신판
구형,신형
구화,종화
국내산,외국제
국내산,외제
국내선,국제선
국말,국초
국모,국부
국산,외국산
국산,외국제
국산,외제
국영사업,민간사업
국외,국내
국외,국중
국외범,국내범
국유화,사유화
국제법,국내법
국제어,자연어
국제어,자연언어
국지전,전면전
국지전,전면전쟁
군부,외처
군부,첩
군부,측실
군수품,민간물자
군용,민간용
군용,민용
군혼,단혼
군혼,단혼제
군혼제,단혼
군혼제,단혼제
굳은쌀,무른쌀
굴도리,납도리
굴도리,평도리
굴도리,평형
굴러가다,굴러오다
굵다,잘다
굵다,가늘다
굵은베,고운 베
굵은체,가는체
굵은체,고운체
궁려,부잣집
궁성,궁외
궁외,구천
궁외,궁내
궁외,궁위
궁외,궐내
궁외,궐액
궁외,궐중
궁외,금중
권내,권외
권리선,의무선
권말,개권
권말기,머리말
권미,개권
권수,권말
권총,장총
궐석하다,출석하다
궐외,구천
궐외,궁내
궐외,궁위
궐외,궁중
궐외,궐내
궐외,금내
궐외,금리
궐외,금중
궐외,액궁
궐외,자달
귀가,싼값
귀가,저가
귀가,저가격
귀격,천골
귀결,이유
귀경,이경
귀경하다,이경하다
귀넘어듣다,귀여겨듣다
귀농,농민이촌
귀농,이농
귀동녀,귀동자
귀방,폐국
귀방,폐방
귀범,개범
귀범하다,출범하다
귀범하다,해람하다
귀부,빈천
귀부,천빈
귀부하다,빈천하다
귀인,천구
귀인,천인
귀조,창조
귀족,평민
귀족,평인
귀족어,평민어
귀족주의,평민주의
귀처,누지
귀티,천티
규방,객간
규방,객당
규방,사랑
규방,외당
규방,외실
규방,외헌
규실,부서
규실,장부
규정론,비결정론
규정론,비정명론
규정론,자유의지론
규합,객간
규합,객당
규합,사랑
규합,외당
규합,외헌
균일계,불균일계
균일하다,불균일하다
균질권,비균질권
균질로,비균질로
그르다,옳다
그르다,정하다
그리스도교,비기독교
극기주의,쾌락설
극기주의,쾌락주의
극다,극소
극다하다,극소하다
극대,극소
극대기,극소기
극대치,극소치
극대치,극솟값
극대화,극소화
극댓값,극소치
극댓값,극솟값
극동,극서
극동,미동
극락,나락
극락,나락가
극락,음사
극락,이리
극락,지옥
극락,지옥세계
극락계,나락
극락계,나락가
극락계,음사
극락계,이리
극락계,지옥
극락세계,나락
극락세계,나락가
극락세계,음사
극락세계,이리
극락세계,지옥
극락세계,지옥세계
극락안양정토,나락
극락안양정토,나락가
극락안양정토,음사
극락안양정토,이리
극락안양정토,지옥
극락정토,나락
극락정토,나락가
극락정토,음사
극락정토,이리
극락정토,지옥
극락정토,지옥세계
극북,극남
극상,극하
극상품,최하품
극서,고한
극서,극한
극서,된추위
극서,열한
극서,폭한
극서,호한
극서,혹한
극선,극악
극선,최악
극소량,극대량
극소점,극대점
극소하다,극대하다
극소화하다,극대화하다
극악,극선
극악,최량
극악,최호
극악하다,극선하다
극야,백야
극염,된추위
극우주의자,극좌주의자
극우파,극좌파
극좌,극우
극좌,극우익
극좌익,극우
극좌익,극우익
극좌주의,극우주의
극하,막상
극한,극염
극한,대서
극한,대열
극한,된더위
극한,맹서
극한,서염
극한,엄서
극한,열서
극한,염열
극한,융서
극한,혹리
극한,혹서
극한,혹양
극한,혹열
극한,혹염
극혐,극호
근,누승
근,멱
근,승멱
근거리,원거리
근교,원교
근국,원국
근국,원방
근농하다,나농하다
근사화면,롱숏
근사화면,원사
근성점,원성점
근시,돋보기눈
근시,멀리보기
근시,원시
근시경,원시경
근시경,원안경
근시안,원시안
근신,불근신
근인,원인
근일점,원일점
근일점,원점
근전,원전
근족,원족
근족,원친
근척,원족
근척,원친
근체시,고체시
근촌,원촌
근친,원족
근친,원친
근해,먼바다
근해,원해
근해어,원해어
글리,옳이
글말체,입말체
금낮다,값비싸다
금녀,금남
금녀하다,금남하다
금물결,은물결
금물결,은파
금방,방금
금상첨화,설상가상
금상첨화,전호후랑
금색세계,나락
금색세계,나락가
금색세계,음사
금색세계,이리
금색세계,지옥
금생,시왕청
금생,유계
금생,유명
금생,음부
금생,중천
금생,지부
금생,천양
금생,황양
금생,황토
금세,유명
금세,음부
금세,저승
금세,중천
금세,천대
금세,황로
금세,황천
금세,황토
금속,비금속
금욕주의,쾌락설
금욕주의,쾌락주의
금욕주의,행복주의
금인,고인
금주,음주
금주하다,끽주하다
금주하다,음주하다
금지,누지
급감,급증
급강세,급약세
급강하,급상승
급경사,완사
급등,급락
급등기,급락기
급등하다,급락하다
급락세,급등세
급류,완류
급류하다,완류하다
급사,완사
급상승,급강하
급상승하다,급강하하다
급성,만성
급성병,만성병
급성병,만성질환
급속도,완속
급속도,저속
급속도,저속도
급정거,급출발
급정차,급출발
급제,낙제
급제,낙과
급제,낙방
급제,하제
급증하다,급감하다
급진,점진
급진주의,점진주의
급체,늦체
급행,완행
급행,완행열차
급행,완행차
급행료,일반요금
급행열차,완행
급행열차,완행열차
급행열차,완행차
급행요금,일반요금
급행차,완행
급행차,완행열차
급행차,완행차
긍정,부정
긍정되다,부정되다
긍정성,부정성
긍정식,모더스톨렌스
긍정식,부정논법
긍정하다,부정하다
기,이
기간지,미간지
기간지,미개간지
기결,미결
기결감,미결감
기결감,미결감방
기결수,미결
기결수,미결수
기결수,미결수용자
기결하다,미결하다
기계론,우연론
기계론,목적론
기계설,목적론
기공되다,고준되다
기공되다,준공되다
기공되다,준역되다
기년,강년
기년,유년
기다랗다,짤따랗다
기단,결말
기독교,비기독교
기독교인,비기독교인
기둥머리,기둥밑동
기둥머리,주각
기둥밑동,주두
기둥밑동,캐피털
기둥뿌리,기둥머리
기둥뿌리,주두
기둥뿌리,캐피털
기득,미득
기득하다,미득하다
기립하다,착석하다
기말,기수
기명,무기명
기명식,무기명식
기명식,백지식
기발하다,미발하다
기본음,사이음
기본음,파생음
기쁘다,슬프다
기쁨,슬픔
기산점,만료점
기상,취침
기생,생체이물
기선,지선
기설하다,미설하다
기성명,무기명
기성복,맞춤옷
기성복,주문복
기세,강년
기세,풍년
기수,우수
기수,미수
기수범,미수범
기수하다,미수하다
기순열,짝순열
기압골,기압릉
기왓고랑,기왓등
기왓골,기왓등
기왕이면,이왕이면
기원전,기원후
기원전,서기
기원전,서력
기원전,서력기원
기원전,에이디
기원전,주후
기원후,비시
기원후,서기전
기원후,서력기원전
기원후,주전
기음,무기음
기음,사이음
기음,파생음
기재,미결
기제,미제
기제품,주문품
기지,옥토
기지,미지
기취,미성취
기침,취침
기탁자,수치인
기표,기호내용
기표,소기
기표,시니피에
기피,제척
기학증,마조히즘
기학증,성적피학증
기학증,피학대성욕도착증
기학증,피학대음란증
기학증,피학성애
기학증,피학애
기학증,피학증
기혼,미혼
기혼녀,기혼남
기혼자,미혼인
기혼자,미혼자
기후조,유조
긴긴밤,단야
긴대,단죽
긴대,짜른대
긴뜨기,짧은뜨기
긴바늘,짧은바늘
긴반경,짧은반경
긴반경,짧은반지름
긴반지름,짧은반경
긴반지름,짧은반지름
긴뼈,단골
긴뼈,짧은뼈
긴소리,단음
긴소매,반소매
긴소매,반팔
긴장,이완
긴장여,단장여
긴지름,단축
긴지름,짧은지름
긴하다,불긴하다
길괘,흉괘
길몽,흉몽
길미,손
길미,손해
길상,흉상
길상좌,항마좌
길상좌,항복좌
길성,흉성
길조,흉증
길조,흉조
길즉대흉,흉즉대길
길징,흉조
길하다,흉하다
깊다,얕다
까만빛,하얀빛
까맣다,하얗다
까매지다,하얘지다
까칠남,까칠녀
깔끔녀,깔끔남
깜둥이,흰둥이
깨돌이,깨순이
꺼멓다,허옇다
꺽다리,작다리
꼬마,군불 장댄가[장대처럼] 키만 크다
꼬마,꺽다리
꼬마,껑충이
꼬마,키꺽다리
꼴없는이름씨,구상명사
꼴없는이름씨,구체명사
꼴없는이름씨,꼴있는이름씨
꼴이름씨,실질명사
꼴이름씨,옹근이름씨
꼴이름씨,완전명사
꼴이름씨,자립명사
꼴있는이름씨,무형명사
꼴있는이름씨,추상명사
꼴조각,개념어
꼴조각,관념사
꼴조각,생각씨
꼴조각,실사
꼴조각,실질형태소
꼴조각,어휘형태소
