수단,방법,,,,,,,,
수족,팔다리,,,,,,,,
수효,수량,,,,,,,,
순식간,삽시간,,,,,,,,
슬기,지혜,,,,,,,,
습격,기습,,,,,,,,
승리,승첩,,,,,,,,
승리,승전,,,,,,,,
시각,시간,,,,,,,,
시장기,허기,,,,,,,,
시행,실시,,,,,,,,
식구,가족,,,,,,,,
신부,사제,,,,,,,,
신앙,종교,,,,,,,,
실망,낙망,,,,,,,,
실제,실지,,,,,,,,
실패,실수,,,,,,,,
사명,임무,,,,,,,,
사실,진실,,,,,,,,
사태,상태,,,,,,,,
사태,정세,,,,,,,,
삽시간,순식간,,,,,,,,
상상,예상,,,,,,,,
상상,추측,,,,,,,,
새해,신년,,,,,,,,
생활,생존,,,,,,,,
생활,생계,,,,,,,,
선례,전례,,,,,,,,
선언,선고,,,,,,,,
선출,선발,,,,,,,,
설움,슬픔,,,,,,,,
성과,결과,,,,,,,,
성과,효과,,,,,,,,
성의,성심,,,,,,,,
성품,인품,,,,,,,,
성품,품격,,,,,,,,
소동,소란,,,,,,,,
소문,풍문,,,,,,,,
소식,소문,,,,,,,,
소식,안부,,,,,,,,
속도,속력,,,,,,,,
쇠약,허약,,,,,,,,
수렵,사냥,,,,,,,,
수복,탈환,,,,,,,,
수줍다,부끄럽다,,,,,,,,
순간,칠니,,,,,,,,
숭배,승상,,,,,,,,
숭배,존경,,,,,,,,
습관,습성,,,,,,,,
습관,관습,,,,,,,,
승인,승낙,,,,,,,,
시늉,흉내,,,,,,,,
시작,개시,,,,,,,,
시험,실험,,,,,,,,
시험,고사,,,,,,,,
신비,신기,,,,,,,,
신체,육체,,,,,,,,
실시,시행,,,,,,,,
실시,실행,,,,,,,,
아군,우군,,,,,,,,
아우,동생,,,,,,,,
안녕,평안,,,,,,,,
애원,애소,,,,,,,,
애원,간청,,,,,,,,
어린이,아이,,,,,,,,
어린이,아동,,,,,,,,
얼,넋,,,,,,,,
얼른,빨리,,,,,,,,
업적,공적,,,,,,,,
여태,입때,,,,,,,,
여때,아직,,,,,,,,
연습,연마,,,,,,,,
연습,훈련,,,,,,,,
열성,정성,,,,,,,,
영광,영예,,,,,,,,
영광,광영,,,,,,,,
영원,영구,,,,,,,,
예사,보통,,,,,,,,
예정,계획,,,,,,,,
오직,다만,,,,,,,,
온갖,갖은,,,,,,,,
완성,완수,,,,,,,,
완성,완료,,,,,,,,
왕궁,궁궐,,,,,,,,
외국,타국,,,,,,,,
요새,요즘,,,,,,,,
용감,용맹,,,,,,,,
용감,과감,,,,,,,,
운명,운수,,,,,,,,
운명,숙명,,,,,,,,
원료,재료,,,,,,,,
원한,원망,,,,,,,,
위독,위급,,,,,,,,
위험,위태,,,,,,,,
유지,지탱,,,,,,,,
응원,후원,,,,,,,,
응원,성원,,,,,,,,
의심,의문,,,,,,,,
의심,의혹,,,,,,,,
이미,벌써,,,,,,,,
이용,사용,,,,,,,,
이익,이득,,,,,,,,
이익,이윤,,,,,,,,
인도,안내,,,,,,,,
일부,부분,,,,,,,,
일치,부합,,,,,,,,
임원,역원,,,,,,,,
안녕,무사,,,,,,,,
아름답다,예쁘다,,,,,,,,
아이,어린이,,,,,,,,
안정,진정,,,,,,,,
야만,미개,,,,,,,,
약속,약조,,,,,,,,
약속,언약,,,,,,,,
언제나,항상,,,,,,,,
언제나,늘,,,,,,,,
얼음판,빙판,,,,,,,,
여론,공론,,,,,,,,
역사,장사,,,,,,,,
역할,구실,,,,,,,,
연약하다,가냘프다,,,,,,,,
연하다,잇대다,,,,,,,,
열중,열심,,,,,,,,
열중,골몰,,,,,,,,
영영,영원히,,,,,,,,
옆,곁,,,,,,,,
예전,그전,,,,,,,,
예전,옛날,,,,,,,,
오히려,도리어,,,,,,,,
온순,유순,,,,,,,,
완전,온전,,,,,,,,
왕,임금,,,,,,,,
왕래,내왕,,,,,,,,
요구,요청,,,,,,,,
요점,중점,,,,,,,,
용기,패기,,,,,,,,
우대,후대,,,,,,,,
운반,운송,,,,,,,,
울창,무성,,,,,,,,
원리,원칙,,,,,,,,
월급,봉급,,,,,,,,
위로,위안,,,,,,,,
유명,저명,,,,,,,,
은혜,은덕,,,,,,,,
의견,의사,,,,,,,,
의논,논의,,,,,,,,
의욕,욕망,,,,,,,,
의지,의탁,,,,,,,,
이상,괴상,,,,,,,,
이유,까닭,,,,,,,,
이치,원리,,,,,,,,
익숙하다,능숙하다,,,,,,,,
인산,인해,,,,,,,,
일생,평생,,,,,,,,
일행,동행,,,,,,,,
